canonical_value,latitude,longitude
alabama,32.806671,-86.79113
alaska,64.200841,-153.493719
albania,41.153332,20.168331
algeria,28.033886,1.659626
american samoa,-14.270972,-170.132217
angola,-11.202692,17.873887
argentina,-38.416097,-63.616672
arizona,33.729759,-111.431221
arkansas,34.969704,-92.373123
armed forces europe,48.775846,9.182932
armed forces pacific,35.689487,139.691711
armenia,40.069099,45.038189
australia,-25.274398,133.775136
austria,47.516231,14.550072
azerbaijan,40.143105,47.576927
bahrain,26.0667,50.5577
bangladesh,23.684994,90.356331
barbados,13.193887,-59.543198
belgium,50.503887,4.469936
belize,17.189877,-88.49765
benin,9.30769,2.315834
bolivia,-16.290154,-63.588653
bosnia and herzegovina,43.915886,17.679076
botswana,-22.328474,24.684866
brazil,-14.235004,-51.92528
british atlantic ocean territo,-7.97194,-14.368809
british indian ocean territory,-6.343194,71.876519
brunei,4.535277,114.727669
bulgaria,42.733883,25.48583
burkina faso,12.364566,-1.53589
burundi,-3.373056,29.918886
cabo verde,16.002082,-24.013197
california,36.778259,-119.417931
cambodia,12.565679,104.990963
cameroon,3.848033,11.502075
canada,56.130366,-106.346771
central african republic,6.611111,20.939444
chad,15.454166,18.732207
chile,-35.675147,-71.542969
china,35.86166,104.195397
colombia,4.570868,-74.297333
colorado,39.550051,-105.782067
connecticut,41.603221,-73.087749
costa rica,9.748917,-83.753428
cote divoire,7.539989,-5.54708
croatia,45.1,15.2
cuba,21.521757,-77.781167
curacao,12.16957,-68.990021
cyprus,35.126413,33.429859
czechia,49.817492,15.472962
delaware,38.910832,-75.52767
democratic republic of the congo,-4.038333,21.758664
denmark,56.26392,9.501785
diego garcia,-7.312881,72.422534
district of columbia,38.905985,-77.033418
djibouti,11.825138,42.590275
dominican republic,18.735693,-70.162651
ecuador,-1.831239,-78.183406
egypt,26.820553,30.802498
el salvador,13.794185,-88.89653
estonia,58.595272,25.013607
ethiopia,9.145,40.489673
fiji,-17.713371,178.065032
finland,61.92411,25.748151
florida,27.664827,-81.515754
france,46.227638,2.213749
gabon,-0.803689,11.609444
georgia,32.157435,-82.907123
germany,51.165691,10.451526
ghana,7.946527,-1.023194
gibraltar,36.137741,-5.345374
greece,39.074208,21.824312
greenland,71.706936,-42.604303
guam,13.444304,144.793731
guantanamo bay naval base,19.902222,-75.145556
guatemala,15.783471,-90.230759
guinea,9.945587,-9.696645
guyana,4.860416,-58.93018
haiti,18.971187,-72.285215
hawaii,19.741755,-155.844437
honduras,15.199999,-86.241905
hong kong,22.396428,114.109497
hungary,47.162494,19.503304
iceland,64.963051,-19.020835
idaho,44.068202,-114.742041
illinois,40.633125,-89.398528
india,20.593684,78.96288
indiana,40.551217,-85.602364
indonesia,-0.789275,113.921327
iowa,41.878003,-93.097702
ireland,53.142367,-7.692054
israel,31.046051,34.851612
italy,41.87194,12.56738
jamaica,18.109581,-77.297508
japan,36.204824,138.252924
johnston atoll,16.729444,-169.533611
jordan,30.585164,36.238414
kansas,38.5266,-96.726486
kazakhstan,48.019573,66.923684
kentucky,37.66814,-84.670067
kenya,-0.023559,37.906193
kiribati,1.873596,157.362854
kosovo,42.602636,20.902977
kuwait,29.31166,47.481766
kyrgyzstan,41.20438,74.766098
laos,19.85627,102.495496
latvia,56.879635,24.603189
lebanon,33.854721,35.862285
liberia,6.428055,-9.429499
lithuania,55.169438,23.881275
louisiana,30.984298,-91.962333
luxembourg,49.815273,6.129583
macedonia,41.608635,21.745275
madagascar,-18.766947,46.869107
maine,45.253783,-69.445469
malawi,-13.254308,34.301525
malaysia,4.210484,101.975766
mali,17.570692,-3.996166
malta,35.937496,14.375416
marshall islands,7.131474,171.184478
maryland,39.045755,-76.641271
massachusetts,42.407211,-71.382437
mauritania,21.00789,-10.940835
mauritius,-20.348404,57.552152
mexico,23.634501,-102.552784
michigan,44.314844,-85.602364
"micronesia, federated states o",7.425554,150.550812
"micronesia, federated states of",7.425554,150.550812
minnesota,46.729553,-94.6859
mississippi,32.354668,-89.398528
missouri,37.964253,-91.831833
moldova,47.411631,28.369885
mongolia,46.862496,103.846656
montana,46.879682,-110.362566
montenegro,42.708678,19.37439
morocco,31.791702,-7.09262
mozambique,-18.665695,35.529562
myanmar,21.913965,95.956223
namibia,-22.95764,18.49041
nebraska,41.492537,-99.901813
nepal,28.394857,84.124008
netherlands,52.132633,5.291266
netherlands antilles,12.226079,-69.060087
nevada,38.80261,-116.419389
new hampshire,43.193852,-71.572395
new jersey,40.058324,-74.405661
new mexico,34.307144,-106.018066
new york,42.165726,-74.948051
new zealand,-40.900557,174.885971
nicaragua,12.865416,-85.207229
niger,17.607789,8.081666
nigeria,9.081999,8.675277
north carolina,35.759573,-79.0193
north dakota,47.650589,-100.437012
northern mariana islands,15.09796,145.67384
