"raw_value","canonical_value"
"[not stated]","unknown"
"associated gas","gas"
"coal bed methane","gas"
"coal seam gas","gas"
"condensate","gas and condensate"
"crude oil","oil"
"crude oil and condensate","oil"
"dry gas","gas"
"gas condensate","gas and condensate"
"hydrocarbons","oil"
"liquid hydrocarbons","oil"
"liquids","oil"
"lpg","gas and condensate"
"ngl","gas and condensate"
"non-associated gas","gas"
"nonassociated gas","gas"
"oil and condensate","oil"
"oil and gas condensate","oil and gas"
"oil and ngl","oil"
"oil, ngl, and gas","oil and gas"
"sales gas","gas"
"total liquids","oil"
"billion bbl","billion_bbl"
"billion boe","billion_boe"
"billion cubic feet","billion_cubic_feet"
"billion m³","billion_cubic_meters"
"billion nm³","billion_normal_cubic_meters"
"billion scf","billion_scf"
"billion sm³","billion_standard_cubic_meters"
"billion tonnes","billion_tonnes"
"billion tons","billion_tons"
"giga cubic feet","giga_cubic_feet"
"giga m³","giga_cubic_meters"
"million bbl","million_bbl"
"million boe","million_boe"
"million cubic feet","million_cubic_feet"
"million metric tons","million_metric_tons"
"million m³","million_cubic_meters"
"million nm³","million_normal_cubic_meters"
"million scf","million_scf"
"million sm³","million_standard_cubic_meters"
"million sm³ o.e.","million_standard_cubic_meters_oil_equivalent"
"million stock tank bbls","million_stb"
"million tonnes","million_tonnes"
"million tons","million_tons"
"m³","cubic_meters"
"nm³","normal_cubic_meters"
"thousand bbl","thousand_bbl"
"thousand boe","thousand_boe"
"thousand cubic feet","thousand_cubic_feet"
"thousand m³","thousand_cubic_meters"
"thousand tonnes","thousand_tonnes"
"thousand tons","thousand_tons"
"trillion cubic feet","trillion_cubic_feet"
"trillion m³","trillion_cubic_meters"
"bbl/d","bbl_per_day"
"bbl/y","bbl_per_year"
"bcf/d","bcf_per_day"
"bcf/y","bcf_per_year"
"bcm/y","bcm_per_year"
"billion nm³/y","billion_normal_cubic_meters_per_year"
"billion scf/d","billion_scf_per_day"
"billion scf/y","billion_scf_per_year"
"billion sm³/y","billion_standard_cubic_meters_per_year"
"boe/d","boe_per_day"
"boe/y","boe_per_year"
"cubic feet/d","cubic_feet_per_day"
"kilotonnes/y","kilotonnes_per_year"
"megalitres/y","megalitres_per_year"
"metric tons/d","metric_tons_per_day"
"million bbl/d","million_bbl_per_day"
"million bbl/y","million_bbl_per_year"
"million boe/y","million_boe_per_year"
"million cubic feet/d","million_cubic_feet_per_day"
"million cubic feet/y","million_cubic_feet_per_year"
"million cubic meters/d","million_cubic_meters_per_day"
"million metric standard m³/y","million_metric_standard_cubic_meters_per_year"
"million metric tonnes/y","million_metric_tonnes_per_year"
"million metric tons/y","million_metric_tons_per_year"
"million m³/d","million_cubic_meters_per_day"
"million m³/y","million_cubic_meters_per_year"
"million nm³/y","million_normal_cubic_meters_per_year"
"million scf/d","million_scf_per_day"
"million scf/y","million_scf_per_year"
"million sm³/d","million_standard_cubic_meters_per_day"
"million sm³/y","million_standard_cubic_meters_per_year"
"million tonnes/y","million_tonnes_per_year"
"million tons/y","million_tons_per_year"
"m³(vn)/y","cubic_meters_vn_per_year"
"m³/d","cubic_meters_per_day"
"m³/y","cubic_meters_per_year"
"petajoules/y","petajoules_per_year"
"sm³/y","standard_cubic_meters_per_year"
"stb/d","stb_per_day"
"thousand bbl/d","thousand_bbl_per_day"
"thousand bbl/y","thousand_bbl_per_year"
"thousand boe/d","thousand_boe_per_day"
"thousand cubic feet/d","thousand_cubic_feet_per_day"
"thousand cubic feet/y","thousand_cubic_feet_per_year"
"thousand m³/d","thousand_cubic_meters_per_day"
"thousand m³/y","thousand_cubic_meters_per_year"
"thousand scf/d","thousand_scf_per_day"
"thousand scf/y","thousand_scf_per_year"
"thousand sm³/d","thousand_standard_cubic_meters_per_day"
"thousand sm³/y","thousand_standard_cubic_meters_per_year"
"thousand toe/y","thousand_toe_per_year"
"thousand tonnes/d","thousand_tonnes_per_day"
"thousand tonnes/y","thousand_tonnes_per_year"
"thousand tons/y","thousand_tons_per_year"
"tj/d","tj_per_day"
"tonnes/d","tonnes_per_day"
"tonnes/y","tonnes_per_year"
"tons/d","tons_per_day"
"tons/y","tons_per_year"
