Country_State,Site,Component,Name_Nearest_City, Count_Building_Owned , Building_Owned_SqFt , Count_Bldgs_Leased ,Bldgs_Leased_SqFt, Count_Bldgs_Other , Bldgs_Other_SqFt , Acres_Owned , Total_Acres ,Plant_Replacement_Value_M,Latitude,Longitude,Lat_Long_Sources
Alabama,ABSTON ANG STATION,Air National Guard,Montgomery,7,"73,834",0,0,0,0,0.00,27.00,$45.54,32.3535522,-86.34922368,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Allen Stagefield AL,Army Active,Wiksburg,5,"3,966",0,0,1,44,113.53,113.53,$54.92,31.2310197,-85.65041125,US_Base_Project_BSR-FY24_Lat-Long
Alabama,AMSA 158 G,Army Reserve,Anniston,3,"64,785",0,0,0,0,17.00,17.00,$48.93,33.6603,-85.8313,DeepSeek
Alabama,Anniston Army Depot,Army Active,Anniston,"1,814","9,781,140",0,0,0,0,"15,277.84","15,530.85","$7,306.11",33.68219265,-85.95287537,US_Base_Project_BSR-FY24_Lat-Long
Alabama,BARIN FIELD,Navy Active,Foley,7,"13,120",0,0,0,0,813.07,"1,124.27",$86.60,30.39143,-87.63401232,US_Base_Project_BSR-FY24_Lat-Long
Alabama,BIRMINGHAM APRT SITE 1,Air National Guard,Birmingham,42,"372,731",0,0,1,"3,000",0.00,133.71,$384.19,33.56349565,-86.75152732,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Cairns Basefield AL,Army Active,Daleville,64,"553,388",0,0,3,"1,177","1,316.03","1,341.80",$674.72,31.275833,-85.713333,US_Base_Project_BSR-FY24_Lat-Long
Alabama,CLARKE RANGE COMPLEX,Army National Guard,Anniston,115,"186,760",0,0,0,0,"22,316.00","22,316.00",$317.49,33.7121,-85.8036,DeepSeek
Alabama,DOTHAN REGIONAL AIRPORT ANG STATION,Air National Guard,Dothan,3,"52,343",0,0,0,0,0.00,21.40,$35.35,31.321627,-85.44961351,US_Base_Project_BSR-FY24_Lat-Long
Alabama,FORT MCCLELLAN TRAINING CENTER,Army National Guard,Anniston,103,"891,691",0,0,0,0,6.26,162.55,$551.92,33.7025884,-85.77397815,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Fort Moore AL,Army Active,Fort Mitchell,66,"58,209",0,0,3,377,"12,258.36","12,258.36",$120.78,32.34167,-85.02167,DeepSeek
Alabama,"Fort Novosel,  AL",Army Active,Fort Novosel,634,"5,356,014",3,"3,361",1214,"3,415,903","57,886.18","99,314.39","$6,372.33",31.3375,-85.71111,DeepSeek
Alabama,Goldberg Stagefield AL,Army Active,Ozark,6,"6,479",0,0,0,0,98.80,101.07,$51.23,31.41374005,-85.46346186,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Highbluff Stagefield AL,Army Active,Hartford,6,"7,470",0,0,1,44,190.35,191.07,$49.15,31.14998315,-85.73631377,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Hunt Stagefield AL,Army Active,Ozark,4,"6,218",0,0,0,0,133.73,153.55,$51.17,31.3800913,-85.58014104,US_Base_Project_BSR-FY24_Lat-Long
Alabama,HUNTSVILLE AL MCRC,Marine Corps Reserve,Huntsville,3,"24,159",0,0,0,0,10.15,10.15,$25.47,34.69616515,-86.5839209,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Louisville Stagefield AL,Army Active,Louisville,1,"4,280",0,0,0,0,101.00,105.33,$38.56,31.81469925,-85.6494063,US_Base_Project_BSR-FY24_Lat-Long
Alabama,MAXWELL AFB SITE 1,Air Force Active,Maxwell Air Force Base,197,"4,566,058",0,0,285,"660,443","2,527.13","3,542.53","$3,563.24",32.3818479,-86.3533076,US_Base_Project_BSR-FY24_Lat-Long
Alabama,MAXWELL AIR FORCE BASE GUNTER ANNEX SITE 1,Air Force Active,Gunter Air Force Base,55,"1,609,329",0,0,134,"472,970",352.66,355.23,"$1,400.82",32.410833,-86.251944,US_Base_Project_BSR-FY24_Lat-Long
Alabama,MG Horace B Hanson ARC,Army Reserve,Birmingham,4,"99,836",0,0,0,0,14.00,15.18,$74.02,33.37661898,-86.78520132,US_Base_Project_BSR-FY24_Lat-Long
Alabama,MONTGOMERY REGIONAL AIRPORT ANG BASE,Air National Guard,Montgomery,31,"335,269",0,0,1,"3,000",0.00,187.24,$407.99,32.2962424,-86.39041851,US_Base_Project_BSR-FY24_Lat-Long
Alabama,NOLF BREWTON,Navy Active,Brewton,0,0,0,0,3,"1,286",0.00,644.79,$67.63,31.050556,-87.065556,US_Base_Project_BSR-FY24_Lat-Long
Alabama,NOLF EVERGREEN,Navy Active,Evergreen,0,0,0,0,2,"2,204",73.30,567.28,$57.78,31.41949302,-87.0434112,US_Base_Project_BSR-FY24_Lat-Long
Alabama,NOLF SILVERHILL,Navy Active,Daphne,2,"1,443",0,0,0,0,352.32,400.15,$47.08,30.5604892,-87.81004935,US_Base_Project_BSR-FY24_Lat-Long
Alabama,NOLF SUMMERDALE,Navy Active,Summerdale,2,"1,043",0,0,0,0,627.63,734.65,$72.59,30.50919185,-87.64688348,US_Base_Project_BSR-FY24_Lat-Long
Alabama,NOLF WOLF,Navy Active,Summerdale,1,240,0,0,0,0,311.77,421.88,$46.01,30.3458882,-87.54072372,US_Base_Project_BSR-FY24_Lat-Long
Alabama,NRC-MCRC BESSEMER AL,Navy Reserve,Bessemer,5,"66,862",0,0,0,0,10.50,10.50,$40.13,33.377012,-86.975288,US_Base_Project_BSR-FY24_Lat-Long
Alabama,OTS TRAINING ANNEX SITE 1,Air Force Active,Titus,46,"49,647",0,0,0,0,0.00,201.67,$33.63,32.64563517,-86.27821618,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Redstone Arsenal,Army Active,Huntsville,"1,343","13,375,019",11,"555,948",422,"1,588,558","31,228.38","38,228.17","$13,920.61",34.62975675,-86.65358023,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Runkle Stagefield AL,Army Active,Elba,6,"6,686",0,0,1,68,234.90,237.33,$35.07,31.3400846,-86.09050987,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Skelly Stagefield AL,Army Active,Kinston,4,"6,516",0,0,0,0,163.90,197.34,$41.11,31.2864559,-86.12933071,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Stinson 5ab Stagefield AL,Army Active,New Brockton,5,"6,345",0,0,0,0,529.50,550.12,$45.49,31.35980285,-86.01378266,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Tac X Stagefield AL,Army Active,Samson,6,"16,504",0,0,1,44,111.40,219.40,$25.91,31.1232963,-85.98027385,US_Base_Project_BSR-FY24_Lat-Long
Alabama,Toth Stagefield AL,Army Active,Dothan,4,"5,964",0,0,1,220,125.14,128.19,$61.30,31.2289731,-85.55880737,US_Base_Project_BSR-FY24_Lat-Long
Alabama,TUSCALOOSA AFRC,Army Reserve,Tuscaloosa,2,"84,516",0,0,0,0,15.22,15.22,$52.11,33.11321158,-87.5528359,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BARTER ISLAND DEW STATION BAR SITE 1,Air Force Active,Kaktovik,4,"41,090",0,0,0,0,0.00,647.01,$299.96,70.133889,-143.581944,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BEAVER CREEK RESEARCH SITE 1,Air Force Active,Northway,0,0,0,0,0,0,0.00,"4,055.00",$26.76,63.058843,-141.828322,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BETHEL RADIO RELAY SITE SITE 1,Air Force Active,Bethel,0,0,0,0,0,0,0.00,22.00,$11.72,60.7812996,-161.8841329,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BIG MOUNTAIN RADIO RELAY SITE SITE 1,Air Force Active,Iliamna,0,0,0,0,0,0,0.00,402.00,$191.26,59.362222,-155.258889,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BIRCH LAKE RECREATION ANNEX SITE 1,Air Force Active,Eielson Air Force Base,29,"15,214",0,0,0,0,0.00,51.00,$27.19,64.31820261,-146.6507231,US_Base_Project_BSR-FY24_Lat-Long
Alaska,Black Rapids Training Area,Army Active,Delta Junction,10,"42,475",0,0,2,"1,302",0.00,"2,779.03",$90.06,63.510342,-145.8239026,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BLAIR LAKE AIR FORCE RANGEEX SITE 1,Air Force Active,Eielson Air Force Base,4,"31,704",0,0,0,0,0.00,"58,962.00",$148.61,64.415434,-147.64769,US_Base_Project_BSR-FY24_Lat-Long
Alaska,BURNT MOUNTAIN RESEARCH SITE 1,Air Force Active,Fort Yukon,2,"1,120",0,0,0,0,0.00,"5,107.00",$36.78,67.41576957,-144.6119192,US_Base_Project_BSR-FY24_Lat-Long
Alaska,CAMPION AIR FORCE STATION SITE 1,Air Force Active,Galena,0,0,0,0,0,0,0.00,"2,326.00",$46.75,64.705833,-156.728056,US_Base_Project_BSR-FY24_Lat-Long
Alaska,CAPE LISBURNE LONG RANGE RADAR SITE SITE 1,Air Force Active,Point Hope,6,"44,834",0,0,0,0,0.00,"1,125.00",$304.03,68.87,-166.15,US_Base_Project_BSR-FY24_Lat-Long
Alaska,CAPE NEWENHAM LONG RANGE RADAR SITE SITE 1,Air Force Active,Platinum,6,"43,155",0,0,0,0,0.00,"2,359.00",$319.53,58.626667,-162.076111,US_Base_Project_BSR-FY24_Lat-Long
Alaska,CAPE ROMANZOF LONG RANGE RADAR SITE SITE 1,Air Force Active,Hooper Bay,8,"36,745",0,0,0,0,0.00,"4,900.00",$244.22,61.78219215,-165.9882751,US_Base_Project_BSR-FY24_Lat-Long
Alaska,CHENA RIVER RESEARCH SITE 1,Air Force Active,Eielson Air Force Base,1,180,0,0,0,0,"2,995.00","2,995.00",$53.15,64.8297154,-146.9728394,US_Base_Project_BSR-FY24_Lat-Long
Alaska,CLEAR SPACE FORCE STATION,US Space Force Active,Clear Air Force Station,52,"691,477",0,0,0,0,0.00,"11,438.00","$3,837.79",64.2880625,-149.1783279,US_Base_Project_BSR-FY24_Lat-Long
Alaska,COLD BAY LONG RANGE RADAR SITE SITE 1,Air Force Active,Cold Bay,5,"13,384",0,0,0,0,0.00,208.00,$178.38,55.245053,-162.7700786,US_Base_Project_BSR-FY24_Lat-Long
Alaska,EARECKSON AS SITE 1,Air Force Active,Shemya Station,57,"1,091,579",0,0,0,0,0.00,"3,520.00","$7,293.62",52.72274555,174.1003202,US_Base_Project_BSR-FY24_Lat-Long
Alaska,EIELSON AIR FORCE BASE,Air Force Active,Eielson Air Force Base,290,"4,440,346",0,0,257,"2,821,758","5,398.75","24,918.91","$19,521.27",64.6644444,-147.099444,US_Base_Project_BSR-FY24_Lat-Long
Alaska,ELMENDORF AFB SITE 1,Air Force Active,Elmendorf Air Force Base,385,"6,590,146",0,0,204,"1,414,037","4,976.95","7,663.52","$18,774.86",61.25328165,-149.8081736,US_Base_Project_BSR-FY24_Lat-Long
Alaska,ELMENDORF AFB SITE 2,Air Force Active,Elmendorf Air Force Base,26,"1,215,464",0,0,343,"2,383,508",851.93,"5,711.33","$4,103.01",61.2705242,-149.6976334,US_Base_Project_BSR-FY24_Lat-Long
Alaska,Fairbanks Eielson Pipeline,Army Active,Fort Wainwright,0,0,0,0,0,0,0.00,100.35,"$3,768.25",64.6803295,-147.0511397,US_Base_Project_BSR-FY24_Lat-Long
Alaska,Fort Greely,Army Active,Delta Junction,117,"1,133,802",0,0,93,"455,730",0.00,"7,201.62","$5,031.58",63.857347,-145.8563744,US_Base_Project_BSR-FY24_Lat-Long
Alaska,FORT RICHARDSON SITE 1,Air Force Active,Fort Richardson,466,"5,946,964",0,0,237,"1,943,768","2,137.63","59,781.57","$13,792.40",61.23490275,-149.5969223,US_Base_Project_BSR-FY24_Lat-Long
Alaska,Fort Wainwright,Army Active,Fort Wainwright,379,"6,394,456",0,0,733,"6,597,308","3,394.54","756,371.33","$22,368.49",64.6053824,-147.8563083,US_Base_Project_BSR-FY24_Lat-Long
Alaska,FORT YUKON LONG RANGE RADAR SITE SITE 1,Air Force Active,Fort Yukon,5,"32,003",0,0,0,0,0.00,84.00,$172.31,66.5606895,-145.2059611,US_Base_Project_BSR-FY24_Lat-Long
Alaska,GRANITE MOUNTAIN RADIO RELAY SITE SITE 1,Air Force Active,Nome,0,0,0,0,0,0,0.00,258.00,$17.74,65.4021,-161.2812,US_Base_Project_BSR-FY24_Lat-Long
Alaska,HAARP RESEARCH STATION SITE 1,Air Force Active,Gakona,2,"29,046",0,0,0,0,"5,408.00","5,408.00",$109.61,62.4111904,-145.1585446,US_Base_Project_BSR-FY24_Lat-Long
Alaska,INDIAN MOUNTAIN LONG RANGE RADAR SITE SITE 1,Air Force Active,Hughes,8,"33,223",0,0,0,0,0.00,"4,226.00",$427.48,65.9885828,-153.7287374,US_Base_Project_BSR-FY24_Lat-Long
