Unit_ID,Unit_Name,Country_Area,Fuel_Description,Quantity_Original,Units_Original,Quantity_Converted,Units_Converted,Data_Year
L100000321006,"10097UUU/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,18029.6,m³/d,41.392,million bbl/y,2023
L100000321014,"10103FF/Cold Lake Oil Asset (Alberta, Canada)",Canada,oil,3290,m³/d,7.553,million bbl/y,2023
L100000321011,"10419YY/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,7773.7,m³/d,17.847,million bbl/y,2023
L100000321019,"10423CC/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,2591.9,m³/d,5.95,million bbl/y,2023
L100000321042,"10557K/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,497.5,m³/d,1.142,million bbl/y,2023
L100000321020,"10587DD/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,2435.7,m³/d,5.592,million bbl/y,2023
L100000309329,"10745D/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,66.1,m³/d,0.152,million bbl/y,2023
L100000321007,"10773QQQ/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,15690.2,m³/d,36.022,million bbl/y,2023
L100000321026,"10787R/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,1523.1,m³/d,3.497,million bbl/y,2023
L100000309334,"10828E/Cold Lake Oil Asset (Alberta, Canada)",Canada,oil,24.9,m³/d,0.057,million bbl/y,2023
L100000321013,"10935EE/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,3574.7,m³/d,8.207,million bbl/y,2023
L100000321041,"11060K/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,498.5,m³/d,1.144,million bbl/y,2023
L100000309345,"11191C/Cold Lake Oil Asset (Alberta, Canada)",Canada,oil,7.4,m³/d,0.017,million bbl/y,2023
L100000309587,"11256I/Cold Lake Oil Asset (Alberta, Canada)",Canada,oil,17.4,m³/d,0.04,million bbl/y,2023
L100000321033,"11306D/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,768.9,m³/d,1.765,million bbl/y,2023
L100000321028,"11387J/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,1218.8,m³/d,2.798,million bbl/y,2023
L100000321010,"11475III/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,9333,m³/d,21.427,million bbl/y,2023
L100000321025,"11715U/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,1558,m³/d,3.577,million bbl/y,2023
L100000309416,"11751A/Cold Lake Oil Asset (Alberta, Canada)",Canada,oil,1.5,m³/d,0.003,million bbl/y,2023
L100000321027,"11888I/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,1232.7,m³/d,2.83,million bbl/y,2023
L100000321015,"11910L/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,2934,m³/d,6.736,million bbl/y,2023
L100000321024,"12218BB/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,1891.6,m³/d,4.343,million bbl/y,2023
L100000321032,"12471U/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,951.8,m³/d,2.185,million bbl/y,2023
L100000309621,"12564G/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,22.83,m³/d,0.052,million bbl/y,2020
L100000321034,"12564J/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,689.4,m³/d,1.583,million bbl/y,2023
L100000321030,"12572U/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,1098.2,m³/d,2.521,million bbl/y,2023
L100000321023,"12580B/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,2008.7,m³/d,4.612,million bbl/y,2023
L100000321022,"13009B/Peace River Area 2 Oil Asset (Alberta, Canada)",Canada,oil,2140.1,m³/d,4.913,million bbl/y,2023
L100000321040,"13050E/Athabasca Oil Asset (Alberta, Canada)",Canada,oil,579.7,m³/d,1.331,million bbl/y,2023
