Unit_ID,Unit_Name,Country_Area,Fuel_Description,Reserves_Classification,Quantity,Units,Quantity_Converted,Units_Converted,Data_Year
L100000318123,16/1-34 S (Lillefix) Oil and Gas Field (Norway),Norway,oil,7F,0.86,million Sm³,5.409,million bbl,2023
L100000318123,16/1-34 S (Lillefix) Oil and Gas Field (Norway),Norway,gas,7F,0.09,billion Sm³,90,million m³,2023
L100000318123,16/1-34 S (Lillefix) Oil and Gas Field (Norway),Norway,NGL,7F,0.03,million tonnes,0.348,million bbl,2023
L100000318123,16/1-34 S (Lillefix) Oil and Gas Field (Norway),Norway,condensate,7F,0,million Sm³,0,million bbl,2023
L100000313899,16/4-13 S Oil and Gas Field (Norway),Norway,hydrocarbons,recoverable,0.95,million Sm³ o.e.,6.963,million boe,2021
L100000320775,25/7-11 S (Norma) Oil and Gas Field (Norway),Norway,oil,7F,1.52,million Sm³,9.56,million bbl,2023
L100000320775,25/7-11 S (Norma) Oil and Gas Field (Norway),Norway,gas,7F,9.5,billion Sm³,9500,million m³,2023
L100000320775,25/7-11 S (Norma) Oil and Gas Field (Norway),Norway,NGL,7F,0,million tonnes,0,million bbl,2023
L100000320775,25/7-11 S (Norma) Oil and Gas Field (Norway),Norway,condensate,7F,0,million Sm³,0,million bbl,2023
L100000317196,"25 de Mayo - Medanito Sudeste LP Oil and Gas Field (La Pampa, Argentina)",Argentina,gas,2P reserves,328,million m³,328,million m³,2022
L100000317196,"25 de Mayo - Medanito Sudeste LP Oil and Gas Field (La Pampa, Argentina)",Argentina,oil,2P reserves,906,thousand m³,5.699,million bbl,2022
L100000317197,"25 de Mayo - Medanito Sudeste RN Oil and Gas Field (Rio Negro, Argentina)",Argentina,oil,2P reserves,1183,thousand m³,7.441,million bbl,2022
L100000317197,"25 de Mayo - Medanito Sudeste RN Oil and Gas Field (Rio Negro, Argentina)",Argentina,gas,2P reserves,79,million m³,79,million m³,2022
L100000321062,25 Years of Independence Gas Field (Uzbekistan),Uzbekistan,gas,estimated,150,bcm,150000,million m³,2021
L100000320776,30/2-5 S (Atlantis) Oil and Gas Field (Norway),Norway,oil,4F,2.58,million Sm³,16.228,million bbl,2023
L100000320776,30/2-5 S (Atlantis) Oil and Gas Field (Norway),Norway,gas,4F,7.27,billion Sm³,7270,million m³,2023
L100000320776,30/2-5 S (Atlantis) Oil and Gas Field (Norway),Norway,NGL,4F,0.26,million tonnes,3.016,million bbl,2023
L100000320776,30/2-5 S (Atlantis) Oil and Gas Field (Norway),Norway,condensate,4F,0,million Sm³,0,million bbl,2023
L100000318129,30/5-4 S (Oswig) Oil and Gas Field (Norway),Norway,oil,7F,1.3,million Sm³,8.177,million bbl,2023
L100000318129,30/5-4 S (Oswig) Oil and Gas Field (Norway),Norway,gas,7F,2.9,billion Sm³,2900,million m³,2023
L100000318129,30/5-4 S (Oswig) Oil and Gas Field (Norway),Norway,NGL,7F,0,million tonnes,0,million bbl,2023
L100000318129,30/5-4 S (Oswig) Oil and Gas Field (Norway),Norway,condensate,7F,0,million Sm³,0,million bbl,2023
L100000313905,31/1-2 S (Røver Nord) Oil and Gas Field (Norway),Norway,oil,5F,4.78,million Sm³,30.065,million bbl,2023
L100000313905,31/1-2 S (Røver Nord) Oil and Gas Field (Norway),Norway,gas,5F,2.87,billion Sm³,2870,million m³,2023
L100000313905,31/1-2 S (Røver Nord) Oil and Gas Field (Norway),Norway,NGL,5F,0,million tonnes,0,million bbl,2023
L100000313905,31/1-2 S (Røver Nord) Oil and Gas Field (Norway),Norway,condensate,5F,0,million Sm³,0,million bbl,2023
L100000320755,31/1-3 S (Røver Sør) Oil and Gas Field (Norway),Norway,oil,5F resources,4.45,million Sm³,27.99,million bbl,2023
L100000320755,31/1-3 S (Røver Sør) Oil and Gas Field (Norway),Norway,gas,5F resources,2.14,billion Sm³,2140,million m³,2023
L100000320755,31/1-3 S (Røver Sør) Oil and Gas Field (Norway),Norway,oil,5F,4.45,million Sm³,27.99,million bbl,2023
L100000320755,31/1-3 S (Røver Sør) Oil and Gas Field (Norway),Norway,gas,5F,2.14,billion Sm³,2140,million m³,2023
L100000320755,31/1-3 S (Røver Sør) Oil and Gas Field (Norway),Norway,NGL,5F,0,million tonnes,0,million bbl,2023
L100000320755,31/1-3 S (Røver Sør) Oil and Gas Field (Norway),Norway,condensate,5F,0,million Sm³,0,million bbl,2023
L100000313908,34/4-15 S & A Oil Field (Norway),Norway,oil,5F,5.88,million Sm³,36.984,million bbl,2023
L100000313908,34/4-15 S & A Oil Field (Norway),Norway,condensate,5F,0,million Sm³,0,million bbl,2023
L100000313908,34/4-15 S & A Oil Field (Norway),Norway,NGL,5F,0.28,million tonnes,3.248,million bbl,2023
L100000313908,34/4-15 S & A Oil Field (Norway),Norway,gas,5F,1.2,billion Sm³,1200,million m³,2023
L100000320779,34/6-2 S (Garantiana) Oil and Gas Field (Norway),Norway,oil,4F,7.52,million Sm³,47.299,million bbl,2023
L100000320779,34/6-2 S (Garantiana) Oil and Gas Field (Norway),Norway,gas,4F,0,billion Sm³,0,million m³,2023
L100000320779,34/6-2 S (Garantiana) Oil and Gas Field (Norway),Norway,NGL,4F,0,million tonnes,0,million bbl,2023
L100000320779,34/6-2 S (Garantiana) Oil and Gas Field (Norway),Norway,condensate,4F,0,million Sm³,0,million bbl,2023
L100000320770,35/10-10 S (Carmen) Oil and Gas Field (Norway),Norway,oil,2F,2.49,million Sm³,15.662,million bbl,2023
L100000320770,35/10-10 S (Carmen) Oil and Gas Field (Norway),Norway,oil,7F,2.49,million Sm³,15.662,million bbl,2023
L100000320770,35/10-10 S (Carmen) Oil and Gas Field (Norway),Norway,gas,7F,13.4,billion Sm³,13400,million m³,2023
L100000320770,35/10-10 S (Carmen) Oil and Gas Field (Norway),Norway,NGL,7F,0,million tonnes,0,million bbl,2023
L100000320770,35/10-10 S (Carmen) Oil and Gas Field (Norway),Norway,gas,recoverable resources,13.4,billion Sm³,13400,million m³,2023
L100000320770,35/10-10 S (Carmen) Oil and Gas Field (Norway),Norway,condensate,recoverable resources,0,million Sm³,0,million bbl,2023
L100000318134,35/10-7 S (Toppand) Oil and Gas Field (Norway),Norway,oil,5F,3.21,million Sm³,20.19,million bbl,2023
L100000318134,35/10-7 S (Toppand) Oil and Gas Field (Norway),Norway,gas,5F,3.37,billion Sm³,3370,million m³,2023
L100000318134,35/10-7 S (Toppand) Oil and Gas Field (Norway),Norway,NGL,5F,0,million tonnes,0,million bbl,2023
L100000318134,35/10-7 S (Toppand) Oil and Gas Field (Norway),Norway,condensate,5F,0,million Sm³,0,million bbl,2023
L100000318135,35/10-8 S (Kveikje) Oil and Gas Field (Norway),Norway,NGL,5F,0,million tonnes,0,million bbl,2023
